DateTime,CH4_ppm,Stage
 05/17/2024 09:52:52.893,2.89638,1
 05/17/2024 10:08:29.353,12.6334,2
 05/17/2024 10:23:55.648,18.5633,3
 05/17/2024 10:56:23.918,23.3484,4
 05/17/2024 11:13:17.742,26.355,5
 05/17/2024 11:29:08.465,39.9052,6
 05/17/2024 11:45:25.646,49.689,7
 05/17/2024 12:06:23.797,73.409,8
 05/17/2024 12:35:57.027,130.129,9
 05/17/2024 12:58:53.217,162.824,10
 05/17/2024 13:17:08.491,191.388,11
 05/17/2024 13:57:45.359,187.404,13
 05/17/2024 14:31:20.837,113.131,14
 05/17/2024 14:44:04.278,73.82,15
 05/17/2024 15:10:15.935,44.1324,16
 05/17/2024 15:41:26.849,13.5561,17
 05/17/2024 15:49:19.173,2.04254,18
